recv_rate,max_rate,rate_limit,time_s
345450098.0,351669404.0,1936007.0,1630
341619160.0,351669404.0,2023924.0,1635
340929852.0,351669404.0,1862011.0,1640
343791604.0,351669404.0,1949928.0,1645
341908362.0,351669404.0,2037845.0,1650
339533006.0,351669404.0,1874818.0,1655
343260586.0,351669404.0,1962735.0,1660
343351846.0,351669404.0,2050652.0,1665
341655977.0,351669404.0,2138569.0,1670
340367841.0,351669404.0,1967484.0,1675
343570644.0,351669404.0,2055401.0,1680
344172814.0,351669404.0,2143318.0,1685
338720073.0,351669404.0,1971853.0,1690
334422607.0,351669404.0,1814105.0,1695
342114417.0,351669404.0,1902022.0,1700
340540754.0,351669404.0,1749861.0,1705
345386762.0,351669404.0,1837778.0,1710
340743538.0,351669404.0,1690756.0,1715
342118609.0,351669404.0,1778673.0,1720
343597456.0,351669404.0,1866590.0,1725
345736518.0,351669404.0,1954507.0,1730
342868387.0,351669404.0,2042424.0,1735
340775743.0,351669404.0,1879031.0,1740
342122122.0,351669404.0,1966948.0,1745
342866183.0,351669404.0,2054865.0,1750
343551848.0,351669404.0,2142782.0,1755
340750461.0,351669404.0,1971360.0,1760
342801293.0,351669404.0,2059277.0,1765
342246996.0,351669404.0,2147194.0,1770
340300149.0,351669404.0,1975419.0,1775
344525478.0,351669404.0,2063336.0,1780
343572574.0,351669404.0,2151253.0,1785
341907016.0,351669404.0,2239170.0,1790
339303651.0,351669404.0,2060037.0,1795
343484920.0,351669404.0,2147954.0,1800
339810391.0,351669404.0,1976118.0,1805
342897964.0,351669404.0,2064035.0,1810
342751980.0,351669404.0,2151952.0,1815
338740966.0,351669404.0,1979796.0,1820
341874045.0,351669404.0,2067713.0,1825
340831860.0,351669404.0,1902296.0,1830
344155907.0,351669404.0,1990213.0,1835
336362330.0,351669404.0,1830996.0,1840
